#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-03-19T11:32:39 [V7.4.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-03-19T11:32:39	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-source=J/A+A/552/A64/table4&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.4.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_35520064
#Name: J/A+A/552/A64
#Title: Gaia-RVS standards (Soubiran+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/a+a/552/a64	    IVOID of underlying data collection
#INFO	creator=Soubiran C.	    First author or institution
#INFO	cites=bibcode:2013A&A...552A..64S	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/552/A64	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.35520064	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_552_A64_table4:
#Name: J/A+A/552/A64/table4
#Title: Mean radial velocities in SOPHIE scale
#Column	HIP	(I6)	HIP number (Cat. I/311)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Right ascension (ICRS, Epoch=J1991.25)	[ucd=pos.eq.ra]
#Column	DEJ2000	(A11)	Declination (ICRS, Epoch=J1991.25)	[ucd=pos.eq.dec]
#Column	Vmag	(F5.2)	Magnitude in Johnson V	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	Johnson B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a10)	MK spectral type	[ucd=src.spType]
#Column	Cat	(a9)	Catalogue of origin (1)	[ucd=meta.ref;meta.table]
#Column	RV	(F8.3)	? Mean Radial Velocity in SOPHIE scale	[ucd=phys.veloc;pos.heliocentric]
#Column	eRV	(F7.4)	? Internal error of RV	[ucd=stat.error]
#Column	sRV	(F7.4)	? Standard deviation of RV	[ucd=stat.error]
#Column	VC	(A2)	Plot of velocity points (if 10 points or more)	[ucd=meta.ref.url]
#Column	N	(I3)	? Number of RV measurements	[ucd=meta.number]
#Column	e_RV	(F7.4)	? Uncertainty of RV	[ucd=stat.error]
#Column	Tbase	(I5)	? Time baseline of the N observations	[ucd=time.interval]
#Column	JDm	(I5)	? Mean Julian Day of observations (JD-2400000)	[ucd=time.epoch;stat.mean]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA	(F10.6)	Right Ascension (J2000) from I/239/hip_main	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Declination (J2000) from I/239/hip_main	[ucd=pos.eq.dec;meta.main]
HIP;RAJ2000;DEJ2000;Vmag;B-V;SpType;Cat;RV;eRV;sRV;VC;N;e_RV;Tbase;JDm;Simbad;_RA;_DE
 91283;18 37 10.48;+24 26 01.0; 7.51; 0.581;F8        ;nor      ; -34.303; 0.0104; 0.0236;VC;  5; 0.0105; 2138;54134;Simbad;279.293536;+24.433315
 91287;18 37 12.73;-25 40 14.1; 7.43; 0.687;G5V       ;ni,nor   ; -23.182; 0.0100; 0.0078;VC;  4; 0.0050; 4277;54475;Simbad;279.303497;-25.671266
 91332;18 37 42.56;-07 20 11.5; 7.98; 0.679;G0        ;ni,nor   ; -67.182; 0.0108; 0.0183;VC;  4; 0.0091; 1694;55176;Simbad;279.427612;-07.336703
 91606;18 40 56.40;+62 44 57.6; 6.10; 0.978;K0III     ;fa       ; -25.119; 0.0084; 0.0217;VC;  3; 0.0125; 1335;55632;Simbad;280.235040;+62.749466
 91659;18 41 28.51;+12 14 11.5; 6.83; 0.998;K2II      ;fa       ; -40.364; 0.0088; 0.0233;VC;  2; 0.0165; 1069;55156;Simbad;280.368811;+12.236546
 91700;18 42 02.36;-34 27 58.2; 7.95; 0.748;G5V       ;ni,nor   ; -11.461; 0.0081; 0.0187;VC;  4; 0.0093; 3962;53728;Simbad;280.509818;-34.466335
 91949;18 44 35.21;+43 49 59.8; 7.54; 0.843;K0        ;ni       ; -45.551; 0.0150; 0.0193;VC; 15; 0.0050; 6121;51710;Simbad;281.146327;+43.833276
 92200;18 47 27.33;-03 38 21.0; 8.81; 1.295;K5        ;ni       ;  15.629; 0.0184; 0.0361;VC;  3; 0.0208; 1362;54886;Simbad;281.863543;-03.639831
 92233;18 47 49.20;-77 52 07.0; 6.39; 0.593;G2V       ;nor      ;  16.242; 0.0079; 0.0055;VC;  4; 0.0040; 3604;53070;Simbad;281.954712;-77.868249
 92519;18 51 19.74;-44 28 31.6; 7.55; 0.534;G0V       ;nor      ;  71.317; 0.0190; 0.0071;VC;  2; 0.0134; 1129;55152;Simbad;282.832181;-44.475695
 92895;18 55 40.89;+04 15 56.0; 8.02; 0.869;G8V       ;ni       ;  19.777; 0.0121; 0.0150;VC;  5; 0.0067; 5717;51898;Simbad;283.920349;+04.265325
 93185;18 58 50.96;+30 10 48.6; 6.80; 0.606;G0        ;ni,nor   ; -40.538; 0.0196; 0.0423;VC;  2; 0.0299; 1161;53773;Simbad;284.712514;+30.180645
 93373;19 01 05.29;-66 11 30.3; 8.60; 0.699;G8V       ;nor      ; -91.911; 0.0056; 0.0023;VC; 14; 0.0015; 4555;54642;Simbad;285.272865;-66.192682
 93374;19 01 05.43;+19 18 34.6; 6.47; 1.114;K1III     ;fa       ; -27.964; 0.0080; 0.4808;VC;  2; 0.3400;  939;55221;Simbad;285.272645;+19.309605
 93570;19 03 27.93;+65 35 12.9; 7.22; 0.939;K0        ;fa       ;  20.493; 0.0091; 0.0262;VC;  2; 0.0185;  384;55643;Simbad;285.866399;+65.586985
 93638;19 04 06.25;-59 44 33.7; 7.88; 0.645;G3V       ;nor      ; -12.376; 0.0148; 0.0240;VC;  2; 0.0170;  924;55051;Simbad;286.026413;-59.742864
 93685;19 04 41.48;-31 22 21.2; 8.21; 0.591;G2V       ;nor      ; -31.124; 0.0102; 0.0240;VC;  2; 0.0170;  504;55261;Simbad;286.172816;-31.372686
 93745;19 05 20.77;-61 41 25.2; 8.29; 0.534;F6V       ;nor      ; -31.868; 0.0215; 0.0276;VC;  2; 0.0195;  925;55050;Simbad;286.336999;-61.690101
 93746;19 05 20.80;+25 55 14.8; 7.18; 1.093;K0        ;fa,ni    ; -72.141; 0.0081; 0.0301;VC;  3; 0.0174; 1735;54947;Simbad;286.336556;+25.920661
 93834;19 06 33.92;-82 29 32.9; 8.16; 0.576;F8/G0IV   ;nor      ;  26.653; 0.0183; 0.0256;VC;  3; 0.0148; 1459;55382;Simbad;286.640564;-82.492352
 93858;19 06 52.61;-37 48 35.2; 6.15; 0.705;G8V       ;nor      ;  60.139; 0.0070; 0.0010;VC;  4; 0.0035; 4200;54001;Simbad;286.718603;-37.810658
 93916;19 07 23.84;+20 25 32.4; 7.40; 1.061;K0        ;fa       ; -56.729; 0.0093; 0.0092;VC;  2; 0.0066; 1101;54902;Simbad;286.849241;+20.425245
 94099;19 09 18.50;+17 04 26.8; 8.48; 1.024;K0        ;fa       ; -29.998; 0.0100; 0.0085;VC;  2; 0.0071;  831;55037;Simbad;287.326962;+17.073970
 94126;19 09 37.89;+76 10 57.8; 8.23; 0.566;F8        ;nor      ; -42.969; 0.0095; 0.0263;VC;  3; 0.0152; 3009;54731;Simbad;287.409482;+76.182850
 94154;19 09 54.31;-68 17 58.5; 7.53; 0.600;G2V       ;nor      ;  -9.235; 0.0086; 0.0121;VC;  4; 0.0061; 4367;53853;Simbad;287.477310;-68.299690
 94191;19 10 33.40;-78 03 32.1; 8.83; 0.543;F8V       ;nor      ; -26.637; 0.0227; 0.0148;VC;  3; 0.0131; 1459;55382;Simbad;287.639750;-78.059023
 94417;19 13 00.71;-49 54 10.1; 8.36; 0.687;G3/G5IV   ;nor      ; -24.905; 0.0130;       ;VC;  2; 0.0092;  503;55261;Simbad;288.253749;-49.902830
 94645;19 15 33.16;-24 10 44.8; 6.25; 0.548;F8V       ;ni,nor   ; -24.585; 0.0060; 0.0725;VC;  9; 0.0242; 3231;54401;Simbad;288.888449;-24.179352
 94761;19 16 55.60;+05 10 19.7; 9.12; 1.464;M3.5V     ;ni       ;  35.737; 0.0091; 0.2704;VC;  6; 0.1104; 1910;55334;Simbad;289.230237;+05.168904
 94971;19 19 33.07;-42 03 54.7; 8.00; 0.570;G0V       ;nor      ; -22.056; 0.0108; 0.0097;VC;  3; 0.0062; 1038;55523;Simbad;289.888026;-42.065235
 94981;19 19 39.05;+37 19 51.5; 6.29; 0.676;G8V       ;ni,nor   ;   2.076; 0.0153; 0.0267;VC; 27; 0.0051; 5126;51972;Simbad;289.912491;+37.330539
 95015;19 20 00.17;-09 19 22.2; 8.59; 0.841;G5        ;ni       ; -46.628; 0.0082; 0.0559;VC;  7; 0.0211; 4520;54776;Simbad;290.000412;-09.323601
 95249;19 22 46.60;+30 16 15.9; 7.30; 0.986;K0        ;fa       ; -22.840; 0.0113; 0.0304;VC;  2; 0.0215; 1483;55093;Simbad;290.694246;+30.271103
 95262;19 22 52.93;-32 55 05.0; 7.84; 0.599;G1V       ;nor      ; -45.345; 0.0063; 0.0132;VC;  5; 0.0059;  724;55044;Simbad;290.720774;-32.919054
 95319;19 23 33.95;+33 13 17.6; 6.37; 0.804;G8V       ;ni,nor   ; -21.465; 0.0154; 0.0136;VC; 12; 0.0044; 2860;51201;Simbad;290.891719;+33.221966
 95321;19 23 36.60;-63 11 29.7; 8.05; 0.630;G2/G3V    ;nor      ;  48.820; 0.0097; 0.0212;VC;  2; 0.0150;  504;55261;Simbad;290.902054;-63.191922
 95446;19 24 56.09;+31 48 05.1; 8.18; 0.573;G0        ;nor      ;   2.120; 0.0118; 0.0478;VC;  3; 0.0276; 2502;54640;Simbad;291.233926;+31.801193
 95669;19 27 35.07;-78 13 15.9; 8.63; 0.558;F7V       ;nor      ; -11.604; 0.0392; 0.0685;VC;  3; 0.0395; 1453;55380;Simbad;291.896201;-78.221049
 95772;19 28 46.39;+11 01 37.4; 7.45; 0.623;G5        ;ni,nor   ; -40.839; 0.0165; 0.0542;VC; 44; 0.0082; 2522;51834;Simbad;292.193278;+11.026982
 95821;19 29 21.46;+31 36 34.8; 6.95; 0.718;G5        ;ni,nor   ;  -9.684; 0.0117; 0.0204;VC;  3; 0.0118; 1346;55194;Simbad;292.339352;+31.608656
 95849;19 29 40.57;-30 47 49.6; 7.13; 0.599;G2V       ;nor      ; -43.161; 0.0090; 0.0083;VC;  4; 0.0045; 2823;53376;Simbad;292.419048;-30.797760
 95950;19 30 44.60;-68 58 19.5; 8.75; 0.622;G2V       ;nor      ;   9.026; 0.0229; 0.0820;VC;  2; 0.0580;  503;55261;Simbad;292.686304;-68.971779
 96085;19 32 06.56;-11 16 30.0; 7.53; 0.922;K2V       ;ni,nor   ; -48.768; 0.0096; 0.0425;VC;  6; 0.0173; 4797;52818;Simbad;293.027936;-11.274942
 96124;19 32 40.28;-28 01 04.8; 7.14; 0.675;K0+...    ;nor      ; -42.476; 0.0082; 0.0080;VC;  4; 0.0041; 3758;53703;Simbad;293.168047;-28.019806
 96183;19 33 25.57;+21 50 27.0; 6.89; 0.745;G5V       ;ni,nor   ;  11.484; 0.0156; 0.0188;VC; 45; 0.0028; 2855;51760;Simbad;293.356471;+21.840329
 96265;19 34 26.12;-12 55 35.2; 7.73; 0.614;G3V       ;nor      ;   7.394; 0.0087; 0.0156;VC;  5; 0.0070; 3721;53856;Simbad;293.608432;-12.926677
 96294;19 34 45.29;+16 38 30.0; 7.35; 1.141;K0        ;fa       ; -61.112; 0.0081; 0.0113;VC;  2; 0.0080;  939;55221;Simbad;293.688754;+16.641667
 96308;19 34 55.45;+11 25 26.7; 7.91; 0.670;G5        ;nor      ; -59.459; 0.0093; 0.0091;VC;  6; 0.0038; 2217;54707;Simbad;293.731740;+11.424101
 96514;19 37 15.96;+26 09 15.9; 8.44; 0.550;F8V       ;nor      ; -23.956; 0.0118; 0.5537;VC;  2; 0.3915;  939;55221;Simbad;294.316560;+26.154382
 96800;19 40 38.71;+44 47 20.6; 7.18; 1.105;K0        ;fa       ; -26.568; 0.0091; 0.0269;VC;  2; 0.0190; 1083;55293;Simbad;295.161347;+44.789164
 96849;19 41 10.52;-51 31 32.7; 8.02; 0.566;F8V       ;nor      ;  94.748; 0.0182; 0.4241;VC;  3; 0.2448; 1031;55521;Simbad;295.293529;-51.525672
 96881;19 41 36.07;-35 43 31.1; 8.72; 0.686;G5V       ;nor      ; -10.576; 0.0063; 0.0063;VC;  6; 0.0026; 1791;54939;Simbad;295.400566;-35.725927
 96948;19 42 29.67;+01 35 12.0; 7.64; 0.664;G0        ;nor      ; -61.340; 0.0170; 0.0730;VC; 14; 0.0195; 2151;51630;Simbad;295.624000;+01.586525
 97033;19 43 14.28;+58 01 00.3; 6.29; 0.590;G0V       ;nor      ; -29.743; 0.0088; 0.0207;VC;  6; 0.0084; 1537;54632;Simbad;295.810079;+58.016617
 97088;19 43 52.52;-35 15 10.5; 8.38; 0.679;G3V       ;nor      ; -76.163; 0.0094; 0.0185;VC;  4; 0.0093; 3962;53394;Simbad;295.969291;-35.253485
 97336;19 46 58.01;+34 25 11.4; 7.83; 0.661;G5        ;ni,nor   ; -16.965; 0.0158; 0.0503;VC; 66; 0.0062; 2890;52390;Simbad;296.742137;+34.419524
 97399;19 47 46.49;+63 51 37.1; 7.86; 0.602;G0        ;nor      ; -24.236; 0.0108; 0.0261;VC;  5; 0.0117; 2622;54876;Simbad;296.943444;+63.860402
 97405;19 47 51.17;-29 09 33.6; 7.69; 0.669;G3V       ;nor      ;  19.434; 0.0096; 0.0124;VC;  4; 0.0062; 4350;52993;Simbad;296.962923;-29.159277
 97591;19 50 09.68;-60 55 25.6; 8.01; 0.509;F6IV      ;nor      ;  -0.628; 0.0179; 0.0212;VC;  2; 0.0150;  707;55363;Simbad;297.540275;-60.923747
 97965;19 54 35.34;+41 27 52.0; 7.39; 0.924;K0        ;fa       ;  10.386; 0.0095; 0.0552;VC;  2; 0.0390;  394;55649;Simbad;298.647203;+41.464387
 98004;19 55 00.14;+34 54 02.0; 7.22; 1.140;K0        ;fa       ; -26.657; 0.0089; 0.0035;VC;  2; 0.0063; 1098;54904;Simbad;298.750576;+34.900604
 98222;19 57 37.15;-37 44 42.5; 7.34; 0.626;G2V       ;nor      ; -34.502; 0.0130; 0.0311;VC;  2; 0.0220;  707;55363;Simbad;299.404799;-37.745053
 98377;19 59 12.05;+11 18 20.0; 6.52; 1.078;K0        ;fa       ; -13.623; 0.0098; 0.0672;VC;  2; 0.0475; 1098;54904;Simbad;299.800228;+11.305567
 98456;20 00 13.64;+37 29 23.2; 9.11; 1.185;K2III     ;fa       ;  12.657; 0.0082; 0.0587;VC;  2; 0.0415;  380;54941;Simbad;300.056829;+37.489830
 98589;20 01 32.71;-16 52 07.7; 7.34; 0.654;G5V       ;ni,nor   ; -28.132; 0.0084; 0.0156;VC;  5; 0.0070; 4326;53716;Simbad;300.386670;-16.868997
 98621;20 01 51.68;-69 11 15.4; 8.12; 0.674;G5V       ;nor      ; -31.061; 0.0106; 0.0104;VC;  4; 0.0053; 4308;53305;Simbad;300.466872;-69.187944
 98698;20 02 47.10;+03 19 33.2; 7.46; 1.128;K4V       ;ni       ; -30.227; 0.0097; 0.0390;VC; 43; 0.0059; 6245;54510;Simbad;300.696019;+03.326188
 98714;20 03 00.70;+28 18 25.3; 7.30; 0.793;G5IV      ;nor      ; -50.100; 0.0157; 0.0628;VC; 57; 0.0083; 2131;52032;Simbad;300.753221;+28.306857
 98792;20 03 52.77;+23 20 34.5; 7.28; 0.815;K1V       ;ni,nor   ;  -2.444; 0.0138; 0.0263;VC; 14; 0.0070; 5457;52062;Simbad;300.967199;+23.340686
 98813;20 04 02.62;-37 52 32.0; 6.91; 0.614;G1V       ;nor      ; -41.113; 0.0071; 0.0091;VC;  4; 0.0046; 3170;54156;Simbad;301.011157;-37.876491
 98839;20 04 18.08;-26 19 45.7; 8.16; 0.626;G3V       ;nor      ;  -9.701; 0.0119; 0.0208;VC;  4; 0.0104; 3162;54044;Simbad;301.075410;-26.329542
 99115;20 07 19.69;-35 32 17.3; 7.78; 0.743;G5V       ;nor      ; -40.256; 0.0121; 0.0076;VC;  3; 0.0070; 1031;55589;Simbad;301.831957;-35.538633
 99139;20 07 36.94;-41 01 07.1; 8.83; 0.639;G5V       ;nor      ; -55.492; 0.0178; 0.0116;VC;  3; 0.0103; 1031;55589;Simbad;301.903814;-41.019329
 99188;20 08 09.57;-52 34 39.9; 6.47; 0.682;G3V       ;nor      ;   8.300; 0.0111; 0.0016;VC;  3; 0.0064; 1029;55591;Simbad;302.039789;-52.577795
 99232;20 08 36.40;+85 07 27.4; 7.13; 0.572;F8        ;nor      ; -28.641; 0.0090; 4.9316;VC;  3; 2.8473; 1852;54248;Simbad;302.149722;+85.124220
 99241;20 08 42.85;+50 35 10.1; 7.40; 0.568;G0        ;nor      ;  -9.009; 0.0044; 0.0205;VC; 34; 0.0035; 4721;54083;Simbad;302.178796;+50.586318
 99344;20 09 48.27;-51 43 05.2; 8.38; 0.708;G6V       ;nor      ;  73.098; 0.0089; 0.0139;VC;  4; 0.0070; 4329;53653;Simbad;302.450679;-51.718239
 99427;20 10 52.27;+77 14 15.8; 8.88; 1.320;K5        ;ni       ;  -1.509; 0.0166; 0.0269;VC;  6; 0.0110; 3269;50740;Simbad;302.718400;+77.238971
 99626;20 13 07.84;-57 28 41.9; 8.54; 0.654;G3V       ;nor      ; -10.740; 0.0164; 0.0158;VC;  4; 0.0082; 1029;55625;Simbad;303.282954;-57.478455
 99687;20 13 43.88;-87 49 21.7; 8.44; 0.564;G0V+...   ;nor      ;  -8.584; 0.0242; 0.0580;VC;  2; 0.0410; 1208;55616;Simbad;303.437964;-87.822991
 99701;20 13 52.75;-45 09 49.1; 7.97; 1.431;M0V       ;nor      ; -33.289; 0.0207; 0.0240;VC;  2; 0.0170;  710;55367;Simbad;303.472484;-45.164019
 99773;20 14 34.81;-15 20 05.5; 8.62; 0.539;F6V       ;nor      ;   8.939; 0.0148; 0.0180;VC;  4; 0.0090; 1029;55475;Simbad;303.645191;-15.334883
 99987;20 17 00.59;+56 54 17.0; 8.07; 0.997;K1III     ;fa       ; -24.498; 0.0081; 0.0113;VC;  2; 0.0080;  381;54941;Simbad;304.252267;+56.904589
100072;20 18 10.02;-04 43 43.0; 7.27; 0.567;F8        ;ni,nor   ;  15.671; 0.0082; 0.0167;VC;  5; 0.0074; 3174;54189;Simbad;304.541693;-04.728666
100233;20 19 45.27;-25 13 41.7; 7.20; 0.594;G2V       ;nor      ;  69.629; 0.0083; 0.0100;VC;  4; 0.0050; 4320;53647;Simbad;304.938270;-25.228600
100359;20 21 12.81;-81 36 55.8; 8.65; 0.643;G3IV/V    ;nor      ;  12.977; 0.0065; 0.0086;VC;  6; 0.0035; 1791;54941;Simbad;305.305162;-81.615922
100363;20 21 15.28;+28 06 26.0; 8.50; 0.683;G4IV      ;ni       ;   6.972; 0.0208; 0.0214;VC;  2; 0.0152; 4644;53770;Simbad;305.313459;+28.106837
100500;20 22 45.08;+19 51 00.3; 7.13; 0.726;G5        ;ni,nor   ;  16.723; 0.0096; 0.1048;VC;  2; 0.0741; 4243;53569;Simbad;305.687563;+19.849997
100721;20 25 13.18;+03 59 20.3; 7.61; 1.007;K0        ;fa       ; -47.855; 0.0098; 0.0184;VC;  2; 0.0130;  386;54938;Simbad;306.305209;+03.989079
100855;20 26 57.67;-15 54 29.3; 8.21; 0.824;G8V       ;nor      ; -58.382; 0.0107; 0.0377;VC;  3; 0.0217;  713;55289;Simbad;306.740352;-15.908035
100925;20 27 44.25;-30 51 59.7; 6.61; 0.724;G6/G8V    ;nor      ;  -0.187; 0.0077; 0.0030;VC;  4; 0.0039; 4280;53774;Simbad;306.934345;-30.867846
100963;20 28 11.83;+22 07 46.5; 7.09; 0.642;G5        ;nor      ;  -0.864; 0.0074; 0.0177;VC; 11; 0.0053; 4095;52526;Simbad;307.049229;+22.128993
100968;20 28 16.50;-87 28 19.4; 8.10; 0.689;G3V       ;nor      ; -19.412; 0.0191; 0.0071;VC;  2; 0.0135;  710;55367;Simbad;307.078083;-87.472207
101059;20 29 11.69;+04 27 23.5; 7.08; 0.512;F8        ;ni,nor   ; -14.971; 0.0101; 0.0533;VC;  2; 0.0377; 4318;53532;Simbad;307.298766;+04.456604
101164;20 30 19.97;+49 46 49.2; 6.57; 1.029;K0        ;fa       ;  11.206; 0.0084; 0.0244;VC;  3; 0.0141; 1482;54865;Simbad;307.583303;+49.780171
101226;20 31 06.89;+40 51 28.5; 7.44; 1.015;K0III     ;fa       ; -23.010; 0.0097; 0.0231;VC;  3; 0.0133; 1482;54865;Simbad;307.778746;+40.858019
101304;20 32 00.95;-65 48 54.4; 7.47; 0.518;F6IV/V    ;nor      ;  -2.493; 0.0303; 0.0203;VC;  3; 0.0175; 1029;55592;Simbad;308.003552;-65.815237
101479;20 33 56.02;-52 50 20.8; 8.24; 0.594;G0V       ;nor      ; -22.523; 0.0180; 0.0048;VC;  3; 0.0104; 1029;55592;Simbad;308.483520;-52.839194
101507;20 34 11.66;-13 43 16.5; 6.11; 0.543;G0V       ;nor      ; -41.222; 0.0080; 0.0095;VC;  6; 0.0039; 3634;54261;Simbad;308.548739;-13.721091
101739;20 37 15.92;-34 09 29.3; 8.04; 0.565;G0V       ;nor      ;  -0.117; 0.0068; 0.0071;VC;  6; 0.0029; 3927;53248;Simbad;309.316006;-34.158180
101806;20 37 51.94;-60 38 03.6; 7.50; 0.667;G3V       ;nor      ;  61.448; 0.0084; 0.0140;VC;  4; 0.0070; 4283;53581;Simbad;309.465459;-60.634482
101904;20 39 02.59;-28 25 31.6; 7.95; 0.541;G0V       ;nor      ; -34.249; 0.0205; 0.0035;VC;  2; 0.0145;  710;55367;Simbad;309.760986;-28.425424
101905;20 39 02.65;-49 19 53.3; 7.33; 0.626;G3V       ;nor      ;  27.582; 0.0084; 0.0090;VC;  4; 0.0045; 3284;53922;Simbad;309.760504;-49.331425
101997;20 40 11.43;-23 46 30.0; 6.36; 0.719;G8/K0V    ;ni,nor   ; -41.904; 0.0066; 0.0055;VC;  5; 0.0030; 4355;53426;Simbad;310.048982;-23.773867
102018;20 40 22.22;-24 07 02.3; 7.21; 0.607;G1/G2V    ;nor      ; -63.672; 0.0077; 0.0116;VC;  4; 0.0058; 3934;53759;Simbad;310.093059;-24.118031
102023;20 40 28.01;-54 01 10.5; 8.85; 0.679;G5V       ;nor      ; -18.229; 0.0139; 0.0135;VC;  3; 0.0080; 1038;55596;Simbad;310.116996;-54.020096
102090;20 41 21.87;+72 58 27.9; 7.27; 1.133;K2        ;fa       ;   6.451; 0.0080; 0.0311;VC;  2; 0.0220;  321;55292;Simbad;310.341003;+72.974390
102259;20 43 13.74;-76 32 49.4; 7.68; 0.599;G1V       ;nor      ;  21.815; 0.0188; 0.0191;VC;  2; 0.0135;  713;55368;Simbad;310.807860;-76.547424
102379;20 44 37.00;-10 29 40.1; 8.21; 0.545;G0        ;nor      ; -17.123; 0.0123; 0.0098;VC;  4; 0.0062; 1373;54872;Simbad;311.154421;-10.494772
102521;20 46 34.30;-17 09 45.9; 7.66; 0.620;G5V       ;nor      ;  43.354; 0.0078; 0.0065;VC;  4; 0.0039; 4338;53658;Simbad;311.642784;-17.162901
102610;20 47 37.86;+12 59 10.2; 7.43; 0.587;F8        ;ni,nor   ; -33.377; 0.0152; 0.0217;VC; 27; 0.0042; 4658;51656;Simbad;311.907796;+12.986248
102747;20 49 08.26;+54 14 00.8; 7.16; 1.082;K0        ;fa       ;   2.657; 0.0080; 0.0354;VC;  2; 0.0250;  321;55292;Simbad;312.284401;+54.233781
102789;20 49 28.83;-51 53 26.1; 8.29; 0.575;F8V       ;nor      ; -53.333; 0.0178; 0.0034;VC;  3; 0.0103; 1036;55593;Simbad;312.370347;-51.890525
102838;20 50 02.98;+07 51 00.0; 8.54; 0.679;G5        ;nor      ;-100.763; 0.0094; 0.0203;VC;  5; 0.0091; 1482;54668;Simbad;312.512951;+07.850243
102910;20 50 55.98;+34 45 14.4; 6.64; 1.024;K0        ;fa       ; -11.440; 0.0080; 0.0269;VC;  2; 0.0190;  324;55290;Simbad;312.733334;+34.754021
102961;20 51 37.47;-73 41 30.8; 8.05; 0.671;G3IV      ;nor      ;  -3.138; 0.0121; 0.0021;VC;  2; 0.0086;  701;55364;Simbad;312.905733;-73.692049
103029;20 52 22.55;-64 46 03.5; 8.17; 0.703;G3IV      ;nor      ; -12.446; 0.0257; 0.0884;VC;  2; 0.0625;  701;55364;Simbad;313.094147;-64.767586
103077;20 53 05.58;-11 34 25.5; 6.38; 0.661;G1V       ;ni,nor   ;  -3.097; 0.0064; 0.0180;VC;  8; 0.0064; 4348;53621;Simbad;313.273319;-11.573659
103250;20 55 03.37;-07 10 41.6; 7.81; 0.616;G0        ;nor      ;  15.810; 0.0108; 0.0681;VC;  4; 0.0340; 4643;54233;Simbad;313.764023;-07.178679
103269;20 55 16.71;+42 18 04.1;10.28; 0.590;G5        ;ni       ;-130.422; 0.0480; 0.0299;VC;  3; 0.0277; 5465;54308;Simbad;313.819817;+42.300189
103458;20 57 40.49;-44 07 37.2; 6.52; 0.587;G0V       ;nor      ;  -7.934; 0.0061; 0.0098;VC;  7; 0.0037; 4268;53482;Simbad;314.416954;-44.129372
103654;21 00 05.04;-69 34 43.5; 6.86; 0.627;G5IV      ;nor      ; -34.086; 0.0081; 0.0033;VC;  4; 0.0040; 4350;53627;Simbad;315.024146;-69.579436
103682;21 00 33.81;-04 43 47.7; 6.21; 0.635;G1V       ;ni,nor   ; -17.535; 0.0072; 0.0410;VC;  5; 0.0183; 4650;52947;Simbad;315.141000;-04.730261
103692;21 00 43.40;+17 26 52.7; 8.05; 0.707;G5        ;nor      ; -60.171; 0.0065; 0.0098;VC; 13; 0.0027; 3683;53668;Simbad;315.181494;+17.447987
103896;21 03 05.55;-19 19 14.1; 8.55; 0.632;G5V       ;nor      ;  40.084; 0.0089; 0.0088;VC;  4; 0.0045; 3754;53840;Simbad;315.772696;-19.320865
103953;21 03 46.76;-68 04 18.5; 7.64; 0.546;F7V       ;nor      ;  -5.535; 0.0161; 0.0042;VC;  2; 0.0114;  701;55364;Simbad;315.945485;-68.071802
104045;21 04 44.23;-04 49 42.3; 8.34; 0.639;G5        ;nor      ;  45.533; 0.0087; 0.0094;VC;  6; 0.0038; 1465;55217;Simbad;316.183947;-04.828898
104318;21 07 56.41;+07 25 58.7; 8.01; 0.692;G5        ;nor      ;   4.910; 0.0059; 0.0153;VC; 16; 0.0038; 1630;53863;Simbad;316.985508;+07.432943
104450;21 09 30.52;+01 34 06.1; 8.26; 0.629;G0        ;nor      ; -32.943; 0.0091; 0.0098;VC;  5; 0.0044; 2208;55024;Simbad;317.377137;+01.568418
104467;21 09 43.00;-50 54 36.8; 7.72; 0.624;F8IV/V    ;nor      ;  24.921; 0.0132; 2.1333;VC;  2; 1.5085; 1201;55614;Simbad;317.429529;-50.910352
104492;21 10 02.12;+32 12 20.8; 7.24; 1.025;K0        ;fa       ; -18.889; 0.0081; 0.0049;VC;  2; 0.0057;  320;55292;Simbad;317.508845;+32.205755
